issue,date,front_balls,back_balls
22896,2023-01-01,"03,13,22,25,31","04,05"
22895,2023-01-01,"02,03,08,11,14","03,06"
22894,2023-01-01,"02,07,09,20,31","07,11"
22893,2023-01-01,"02,05,18,25,34","10,12"
22892,2023-01-01,"02,09,28,32,34","04,05"
22891,2023-01-01,"02,05,21,25,28","07,10"
22890,2023-01-01,"07,12,19,23,24","05,06"
22889,2023-01-01,"01,13,17,22,35","01,07"
22888,2023-01-01,"08,13,15,27,33","02,07"
22887,2023-01-01,"03,17,20,32,34","04,05"
22886,2023-01-01,"06,08,10,11,22","07,10"
22885,2023-01-01,"07,12,25,32,35","06,11"
22884,2023-01-01,"07,11,24,29,34","09,10"
22883,2023-01-01,"07,12,13,19,29","04,11"
22882,2023-01-01,"16,20,22,26,30","06,07"
22881,2023-01-01,"08,13,19,29,30","06,07"
22880,2023-01-01,"02,12,13,23,24","06,07"
22879,2023-01-01,"15,18,27,28,31","09,10"
22878,2023-01-01,"03,05,16,30,33","05,06"
22877,2023-01-01,"05,14,23,25,29","06,09"
22876,2023-01-01,"07,13,19,20,26","04,12"
22875,2023-01-01,"01,04,13,16,20","08,11"
22874,2023-01-01,"12,13,27,33,34","06,09"
22873,2023-01-01,"16,18,23,28,30","05,12"
22872,2023-01-01,"03,13,14,21,27","08,11"
22871,2023-01-01,"07,17,19,20,30","06,10"
22870,2023-01-01,"04,06,19,21,33","11,12"
22869,2023-01-01,"02,07,09,27,32","04,07"
22868,2023-01-01,"07,13,14,15,16","04,07"
22867,2023-01-01,"03,16,23,27,32","02,04"
22866,2023-01-01,"08,09,14,21,22","02,08"
22865,2023-01-01,"02,03,17,19,34","10,11"
22864,2023-01-01,"02,07,13,16,31","07,11"
22863,2023-01-01,"01,05,11,19,25","01,08"
22862,2023-01-01,"04,08,17,30,33","04,10"
22861,2023-01-01,"08,09,11,13,33","01,11"
22860,2023-01-01,"03,07,12,13,23","08,09"
22859,2023-01-01,"04,07,10,17,23","05,10"
22858,2023-01-01,"06,10,20,23,32","10,11"
22857,2023-01-01,"04,07,15,20,28","05,08"
22856,2023-01-01,"13,19,24,25,34","02,07"
22855,2023-01-01,"09,24,26,28,31","02,03"
22854,2023-01-01,"11,12,25,31,35","01,12"
22853,2023-01-01,"01,09,13,30,31","01,11"
22852,2023-01-01,"20,25,26,27,31","03,05"
22851,2023-01-01,"16,19,22,28,34","08,12"
22850,2023-01-01,"16,22,23,26,31","03,09"
22849,2023-01-01,"02,05,16,17,18","01,03"
22848,2023-01-01,"05,06,14,30,34","03,05"
22847,2023-01-01,"02,13,16,18,31","07,09"
22846,2023-01-01,"08,12,16,21,31","04,11"
22845,2023-01-01,"01,03,08,19,25","06,07"
22844,2023-01-01,"01,10,12,33,34","05,09"
22843,2023-01-01,"04,06,10,21,32","04,10"
22842,2023-01-01,"09,15,19,33,34","01,05"
22841,2023-01-01,"06,12,18,19,33","07,08"
22840,2023-01-01,"13,14,15,17,32","10,12"
22839,2023-01-01,"11,12,16,26,34","05,08"
22838,2023-01-01,"16,21,22,27,29","04,06"
22837,2023-01-01,"06,07,17,32,34","02,05"
22836,2023-01-01,"03,09,13,15,32","07,11"
22835,2023-01-01,"11,20,24,27,31","01,06"
22834,2023-01-01,"06,13,17,24,32","01,05"
22833,2023-01-01,"02,23,25,28,32","03,09"
22832,2023-01-01,"09,11,19,21,33","08,12"
22831,2023-01-01,"01,04,11,15,20","07,09"
22830,2023-01-01,"11,15,33,34,35","11,12"
22829,2023-01-01,"02,11,19,22,33","05,08"
22828,2023-01-01,"07,08,12,34,35","02,12"
22827,2023-01-01,"06,07,15,21,29","02,04"
22826,2023-01-01,"02,13,20,23,32","01,09"
22825,2023-01-01,"11,12,28,29,30","03,11"
22824,2023-01-01,"01,05,15,23,25","08,10"
22823,2023-01-01,"04,23,26,31,33","03,09"
22822,2023-01-01,"06,08,11,21,26","03,10"
22821,2023-01-01,"02,07,20,32,34","04,05"
22820,2023-01-01,"09,11,17,22,27","03,12"
22819,2023-01-01,"03,09,14,29,30","04,05"
22818,2023-01-01,"04,07,08,22,25","04,10"
22817,2023-01-01,"02,12,14,25,31","02,10"
22816,2023-01-01,"03,04,12,17,24","04,05"
22815,2023-01-01,"03,08,09,21,27","04,05"
22814,2023-01-01,"20,26,30,31,34","01,06"
22813,2023-01-01,"10,13,17,19,22","08,12"
22812,2023-01-01,"03,08,13,32,33","10,12"
22811,2023-01-01,"07,11,12,20,32","06,07"
22810,2023-01-01,"10,19,21,34,35","02,12"
22809,2023-01-01,"11,13,18,22,28","01,02"
22808,2023-01-01,"01,04,12,14,17","03,09"
22807,2023-01-01,"04,08,09,18,26","05,11"
22806,2023-01-01,"11,14,21,30,31","03,10"
22805,2023-01-01,"11,17,28,30,33","05,12"
22804,2023-01-01,"01,05,07,28,35","04,06"
22803,2023-01-01,"02,05,18,29,32","11,12"
22802,2023-01-01,"07,08,17,21,27","02,04"
22801,2023-01-01,"05,06,17,31,35","02,08"
22800,2023-01-01,"04,06,21,30,35","06,09"
22799,2023-01-01,"02,03,14,23,34","10,11"
22798,2023-01-01,"13,18,20,22,26","03,05"
22797,2023-01-01,"03,16,20,26,28","02,11"
22796,2023-01-01,"05,12,15,24,32","01,07"
22795,2023-01-01,"16,20,21,32,35","08,11"
22794,2023-01-01,"08,17,18,29,33","03,08"
22793,2023-01-01,"11,14,15,16,21","05,06"
22792,2023-01-01,"07,16,17,18,35","07,11"
22791,2023-01-01,"06,09,12,19,21","10,11"
22790,2023-01-01,"01,05,26,29,34","02,05"
22789,2023-01-01,"12,13,15,26,33","09,10"
22788,2023-01-01,"13,15,21,23,25","05,11"
22787,2023-01-01,"02,12,23,24,29","07,08"
22786,2023-01-01,"02,17,22,23,25","04,09"
22785,2023-01-01,"03,09,10,21,29","03,07"
22784,2023-01-01,"01,02,28,30,34","03,06"
22783,2023-01-01,"06,08,15,28,34","07,12"
22782,2023-01-01,"10,14,15,17,33","02,07"
22781,2023-01-01,"02,03,13,15,18","06,09"
22780,2023-01-01,"11,26,28,29,32","05,11"
22779,2023-01-01,"10,12,20,23,30","07,08"
22778,2023-01-01,"08,16,19,21,24","06,12"
22777,2023-01-01,"02,06,13,25,29","04,07"
22776,2023-01-01,"03,09,11,13,20","02,04"
22775,2023-01-01,"06,07,23,25,35","04,08"
22774,2023-01-01,"02,12,14,22,24","01,03"
22773,2023-01-01,"09,18,26,30,35","02,04"
22772,2023-01-01,"01,05,13,19,27","07,08"
22771,2023-01-01,"03,16,19,22,32","02,08"
22770,2023-01-01,"02,15,20,23,29","08,09"
22769,2023-01-01,"03,05,06,25,32","04,05"
22768,2023-01-01,"18,20,22,25,30","02,05"
22767,2023-01-01,"04,05,09,10,22","05,10"
22766,2023-01-01,"10,25,26,27,35","03,10"
22765,2023-01-01,"15,23,25,32,33","03,12"
22764,2023-01-01,"07,12,18,28,34","02,07"
22763,2023-01-01,"19,23,27,28,29","01,09"
22762,2023-01-01,"07,11,17,24,33","02,03"
22761,2023-01-01,"02,05,08,23,30","02,10"
22760,2023-01-01,"07,08,12,14,35","02,11"
22759,2023-01-01,"01,26,28,32,33","02,08"
22758,2023-01-01,"01,07,09,18,29","09,12"
22757,2023-01-01,"02,13,18,20,22","06,12"
22756,2023-01-01,"09,17,22,33,35","07,09"
22755,2023-01-01,"01,06,09,18,22","02,10"
22754,2023-01-01,"08,21,26,28,29","01,05"
22753,2023-01-01,"05,12,14,23,35","01,10"
22752,2023-01-01,"09,27,28,32,35","03,07"
22751,2023-01-01,"15,17,18,24,30","02,10"
22750,2023-01-01,"01,07,13,16,25","02,07"
22749,2023-01-01,"07,08,18,28,35","03,08"
22748,2023-01-01,"05,06,07,18,31","09,10"
22747,2023-01-01,"03,08,11,12,15","02,07"
22746,2023-01-01,"08,17,24,28,31","05,08"
22745,2023-01-01,"08,17,18,22,34","03,05"
22744,2023-01-01,"10,14,17,19,30","08,10"
22743,2023-01-01,"01,04,05,17,31","04,11"
22742,2023-01-01,"02,18,26,32,33","09,12"
22741,2023-01-01,"07,13,15,16,32","05,10"
22740,2023-01-01,"01,09,18,24,25","08,11"
22739,2023-01-01,"17,18,19,26,32","02,09"
22738,2023-01-01,"08,18,19,21,23","06,11"
22737,2023-01-01,"01,05,06,23,31","05,09"
22736,2023-01-01,"15,23,25,27,33","02,10"
22735,2023-01-01,"08,19,20,29,31","01,09"
22734,2023-01-01,"05,08,12,18,31","02,06"
22733,2023-01-01,"02,07,15,33,35","08,12"
22732,2023-01-01,"09,15,17,24,28","08,12"
22731,2023-01-01,"02,10,16,18,27","04,09"
22730,2023-01-01,"09,10,15,26,28","11,12"
22729,2023-01-01,"02,10,14,31,34","05,06"
22728,2023-01-01,"03,04,12,19,29","08,10"
22727,2023-01-01,"04,25,27,33,35","05,08"
22726,2023-01-01,"14,17,19,20,32","04,07"
22725,2023-01-01,"02,08,11,17,31","01,12"
22724,2023-01-01,"06,12,14,15,19","09,12"
22723,2023-01-01,"08,14,16,29,30","07,12"
22722,2023-01-01,"01,03,07,09,18","03,11"
22721,2023-01-01,"17,21,23,28,30","03,12"
22720,2023-01-01,"03,06,19,24,28","05,09"
22719,2023-01-01,"03,15,22,29,34","04,05"
22718,2023-01-01,"03,13,14,20,35","06,09"
22717,2023-01-01,"06,16,18,29,33","02,06"
22716,2023-01-01,"01,14,20,24,35","01,09"
22715,2023-01-01,"04,06,17,18,22","11,12"
22714,2023-01-01,"05,10,25,28,34","03,11"
22713,2023-01-01,"13,15,22,24,29","03,09"
22712,2023-01-01,"03,10,24,33,35","04,12"
22711,2023-01-01,"02,05,15,20,26","05,11"
22710,2023-01-01,"12,17,25,27,30","05,12"
22709,2023-01-01,"02,07,10,12,27","04,06"
22708,2023-01-01,"10,15,16,26,32","05,07"
22707,2023-01-01,"02,04,16,20,33","07,08"
22706,2023-01-01,"04,11,16,19,29","05,12"
22705,2023-01-01,"12,14,15,19,25","07,10"
22704,2023-01-01,"06,08,11,16,30","02,10"
22703,2023-01-01,"19,20,22,24,27","10,12"
22702,2023-01-01,"03,10,27,32,33","01,09"
